STDR_DE,NODE_ID,STTN_NO,STTN_NM,CRDNT_X,CRDNT_Y,STTN_TY,
20240101,100000072,1167,독립문역.서대문형무소역사관,126.9593186,37.57339188,0,
20240101,100000073,1168,서대문.서울시교육청,126.9645273,37.56825381,0,
20240101,100000368,1169,서대문역사거리.적십자병원,126.9675878,37.56710815,0,
20240101,100000074,1170,독립문,126.9628375,37.56995275,0,
20240101,100000075,1171,독립문,126.9614303,37.57134302,0,
20240101,100000076,1172,창덕궁.서울돈화문국악당,126.9885394,37.57754057,0,
20240101,100000077,1173,서린동.SK서린빌딩,126.9800948,37.5692639,0,
20240101,100000078,1174,청계1가.광교,126.9849267,37.56868439,0,
20240101,100000079,1175,청계2가.수표교,126.9908172,37.56844532,0,
20240101,100000080,1176,청계4가.세운교,126.9965617,37.5689254,0,
20240101,100000081,1177,청계5가.광장시장,126.9997974,37.56945128,0,
20240101,100000082,1178,종로5가.광장시장,126.999974,37.57066325,4,
20240101,100000083,1179,종로5가,126.999863,37.57065784,4,
20240101,100000084,1180,종로4가.종묘,126.9967951,37.57042442,0,
20240101,100000085,1181,종로4가.종묘,126.994403,37.57029547,3,
20240101,100000086,1182,종로3가역15번출구,126.9908608,37.57009971,3,
20240101,100000087,1183,종로3가,126.9889374,37.57001124,4,
20240101,100000088,1184,종로2가,126.9879232,37.56926954,0,
20240101,100000089,1185,종로2가,126.9874613,37.56923165,0,
20240101,100000090,1186,종로2가,126.9864899,37.56996233,4,
20240101,100000091,1187,종로2가,126.985437,37.56997031,4,
20240101,100000092,1188,종로1가,126.981668,37.570063,4,
20240101,100000093,1189,종로1가,126.9803257,37.56998579,4,
20240101,100000094,1190,종로1가,126.9814271,37.57036082,4,
20240101,100000095,1191,종로1가,126.980187,37.5704,0,
20240101,100000096,1192,종로2가,126.9849388,37.57033699,4,
20240101,100000097,1193,종로2가,126.9863596,37.57035879,4,
20240101,100000098,1194,종로3가,126.9899347,37.57049432,0,
20240101,100000099,1195,종로4가.종묘,126.99417,37.57071,3,
20240101,100000100,1196,종로4가,126.99562,37.57066767,3,
20240101,100000101,1197,종로5가,126.9990558,37.5709588,3,
20240101,100000102,1198,원남동,126.9973383,37.57453251,4,
20240101,100000103,1199,창덕궁.우리소리박물관,126.9889539,37.57727265,0,
20240101,100000104,1200,안국역.인사동,126.9841344,37.57579898,0,
20240101,100000105,1201,조계사.종로경찰서,126.9831556,37.57252231,0,
20240101,100000106,1202,조계사.종로경찰서,126.9828259,37.57248581,0,
20240101,100000107,1203,안국동,126.9827201,37.57461057,0,
20240101,100000108,1204,종로5가.효제동.김상옥의거터,127.00223,37.5745,4,
20240101,100000109,1205,종로5가.효제초등학교,127.0021442,37.57287901,4,
20240101,100000110,1206,종로5가,127.0004857,37.57110388,3,
20240101,100000111,1207,종로6가,127.0025993,37.57117324,0,
20240101,100000112,1208,종로6가,127.0043133,37.57119391,4,
20240101,100000414,1209,창덕궁.돈화문국악당,126.991235,37.57743277,0,
20240101,100000114,1210,종로6가,127.0059751,37.57086134,3,
20240101,100000358,1211,종로6가,127.004294,37.57082447,0,
20240101,100000116,1212,종로5가,127.0021827,37.5705596,0,
20240101,100000117,1213,청계6가.동대문시장,127.0028494,37.56983511,0,
20240101,100000118,1214,동대문,127.0084126,37.57172624,0,
20240101,100000119,1215,충신동,127.0062788,37.57402235,0,
20240101,100000120,1216,종로6가.종로신진시장,127.0035695,37.57080106,4,
20240101,100000121,1217,충신동,127.0063434,37.57446028,0,
20240101,100000122,1218,현대그룹빌딩,127.0008066,37.57591041,0,
20240101,100000123,1219,방송통신대.이화장,127.002437,37.578043,3,
20240101,100000124,1220,혜화역.마로니에공원,127.0022769,37.58111949,3,
20240101,100000125,1221,혜화역.서울대병원입구,127.0018482,37.58095597,3,
20240101,100000126,1222,방송통신대.이화장,127.0019783,37.57778897,0,
20240101,100000127,1223,이화동(이화장),127.0006951,37.57611936,0,
20240101,100000128,1224,창경궁.서울대학교병원,126.9968717,37.57882799,0,
20240101,100000129,1225,이화동(이화장),127.0032708,37.57593729,0,
20240101,100000130,1226,혜화동로터리,127.0006878,37.58558033,0,
20240101,100000131,1227,명륜동2가.성균관대입구,126.9993988,37.58333349,0,
20240101,100000132,1228,혜화역.서울연극센터(장면총리가옥),127.0013282,37.58402281,0,
20240101,100000133,1229,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977,4,
20240101,100000135,1231,종로구민회관.창신동두산아파트,127.0155555,37.57409268,0,
20240101,100000136,1232,동대문,127.0141186,37.57270788,4,
20240101,100000137,1233,동대문,127.0136467,37.57229002,4,
20240101,100000138,1234,동대문,127.0149019,37.57267481,4,
20240101,100000139,1235,동묘앞역6번출구,127.0156014,37.57168496,0,
20240101,100000140,1236,동묘앞역5번출구,127.015945,37.57192215,0,
20240101,101000307,1237,청계2가교차로,126.9878779,37.5684809,0,
20240101,100000142,1238,창신3동주민센터,127.015178,37.578413,0,
20240101,100000143,1239,숭인1동주민센터.창신역4번출구,127.0154558,37.57862816,0,
20240101,100000144,1240,동묘역.롯데캐슬천지인,127.0158024,37.57418005,0,
20240101,100000146,1242,숭인동,127.020339,37.5743009,4,
20240101,100000147,1243,신설동로터리,127.0228414,37.57569473,0,
20240101,100000364,1245,동묘앞역2번출구,127.0175235,37.57364311,0,
20240101,100000150,1246,구기동현대빌라,126.956622,37.609682,0,
20240101,100000151,1247,광장시장,126.9977438,37.56949631,0,
20240101,100000153,1249,혜화경찰서,126.9974788,37.57258074,4,
20240101,100000154,1250,서울역사박물관.김구집무실(경교장),126.9721318,37.56990034,4,
20240101,100000155,1251,청계3가.관수교,126.9937794,37.56868879,0,
20240101,100000156,1252,청계6가.버들다리,127.0080377,37.56993039,0,
20240101,100000157,1253,청계7가.맑은내다리,127.0130967,37.57004196,0,
20240101,100000158,1254,청계8가.영도교,127.0181256,37.57089499,0,
20240101,100000159,1256,원남동사거리,126.9981123,37.57576174,0,
